OBJECTID_1,OBJECTID,Id,GridID,Total,Shape__Area,Shape__Length
1280,1170,0,1170,2,6969599.83825684,10559.9998773336
1281,2400,0,2400,4,6969599.83813477,10559.9998773336
1282,2737,0,2737,1,6969599.8380127,10559.9998773336
1283,3737,0,3737,3,6969599.83813477,10559.9998773336
1284,3384,0,3384,4,6969600.70422363,10560.0005334914
1285,1234,0,1234,4,6969599.83813477,10559.9998773336
1286,2515,0,2515,4,6969599.83813477,10559.9998773336
1287,2628,0,2628,2,6969599.83813477,10559.9998773336
1288,3798,0,3798,4,6969599.8380127,10559.9998773336
1289,3213,0,3213,3,6969599.83813477,10559.9998773336
1290,1068,0,1068,5,6969599.83813477,10559.9998773336
1291,1934,0,1934,2,6969599.83813477,10559.9998773336
1292,2990,0,2990,3,6969599.8380127,10559.9998773336
1293,1247,0,1247,4,6969599.83813477,10559.9998773336
1294,2507,0,2507,4,6969599.83789063,10559.9998773336
1295,1582,0,1582,2,6969599.83825684,10559.9998773336
1296,3790,0,3790,3,6969599.83813477,10559.9998773336
1297,3511,0,3511,3,6969599.83813477,10559.9998773336
1298,526,0,526,3,6969599.83813477,10559.9998773336
1299,1697,0,1697,1,6969599.8380127,10559.9998773336
1300,846,0,846,5,6969599.8380127,10559.9998773336
1301,674,0,674,3,6969599.83813477,10559.9998773336
1302,719,0,719,3,6969599.8380127,10559.9998773336
1303,2228,0,2228,1,6969599.8380127,10559.9998773336
1304,3908,0,3908,2,6969599.8380127,10559.9998773336
1305,1462,0,1462,3,6969599.83813477,10559.9998773336
1306,1287,0,1287,1,6969599.83813477,10559.9998773336
1307,1185,0,1185,4,6969599.83813477,10559.9998773336
1308,2530,0,2530,3,6969599.83813477,10559.9998773336
1309,822,0,822,4,6969599.83813477,10559.9998773336
1310,1535,0,1535,4,6969601.57043457,10560.0011896789
1311,1407,0,1407,2,6969599.83813477,10559.9998773336
1312,3671,0,3671,2,6969600.7043457,10560.0005334914
1313,853,0,853,3,6969599.83813477,10559.9998773336
1314,702,0,702,4,6969600.70422363,10560.0005334914
1315,1807,0,1807,2,6969599.8380127,10559.9998773336
1316,1590,0,1590,4,6969599.83825684,10559.9998773336
1317,2631,0,2631,2,6969599.83813477,10559.9998773336
1318,2227,0,2227,1,6969599.83813477,10559.9998773336
1319,2229,0,2229,3,6969599.8380127,10559.9998773336
1320,780,0,780,4,6969599.8380127,10559.9998773336
1321,1477,0,1477,4,6969600.70422363,10560.0005335212
1322,2343,0,2343,1,6969599.8380127,10559.9998773336
1323,2584,0,2584,2,6969599.8380127,10559.9998773336
1324,1707,0,1707,1,6969599.83813477,10559.9998773336
1325,1004,0,1004,2,6969599.83813477,10559.9998773336
1326,4022,0,4022,2,6969600.7043457,10560.0005334914
1327,3272,0,3272,2,6969599.83813477,10559.9998773336
1328,887,0,887,0,6969600.7043457,10560.0005334914
1329,1250,0,1250,4,6969599.83813477,10559.9998773336
1330,1231,0,1231,2,6969599.83813477,10559.9998773336
1331,544,0,544,2,6969599.8380127,10559.9998773336
1332,1592,0,1592,4,6969599.83813477,10559.9998773336
1333,1539,0,1539,1,6969600.70422363,10560.0005334914
1334,2351,0,2351,3,6969599.83813477,10559.9998773336
1335,1441,0,1441,3,6969600.70422363,10560.0005334914
1336,3102,0,3102,1,6969599.8380127,10559.9998773336
1337,3617,0,3617,3,6969599.83813477,10559.9998773336
1338,2971,0,2971,3,6969599.83813477,10559.9998773336
1339,2460,0,2460,3,6969599.8380127,10559.9998773336
1340,1204,0,1204,4,6969599.83813477,10559.9998773336
1341,3620,0,3620,3,6969599.83813477,10559.9998773336
1342,3339,0,3339,1,6969599.8380127,10559.9998773336
1343,704,0,704,3,6969599.83813477,10559.9998773336
1344,2973,0,2973,4,6969599.83813477,10559.9998773336
1345,723,0,723,3,6969600.70422363,10560.0005335212
1346,3048,0,3048,3,6969599.83825684,10559.9998773336
1347,2002,0,2002,2,6969599.83813477,10559.9998773336
1348,2418,0,2418,3,6969599.83813477,10559.9998773336
1349,523,0,523,3,6969599.83789063,10559.9998773336
1350,1076,0,1076,5,6969599.8380127,10559.9998773336
1351,2063,0,2063,1,6969599.83789063,10559.9998773336
1352,639,0,639,2,6969599.83813477,10559.9998773336
1353,731,0,731,4,6969599.8380127,10559.9998773336
1354,733,0,733,4,6969599.8380127,10559.9998773336
1355,2920,0,2920,2,6969599.83813477,10559.9998773336
1356,2707,0,2707,2,6969599.83813477,10559.9998773336
1357,1485,0,1485,2,6969599.8380127,10559.9998773336
1358,1018,0,1018,3,6969599.8380127,10559.9998773336
1359,2446,0,2446,3,6969599.8380127,10559.9998773336
1360,2358,0,2358,3,6969600.70422363,10560.0005334914
1361,1304,0,1304,4,6969599.8380127,10559.9998773336
1362,2472,0,2472,2,6969599.8380127,10559.9998773336
1363,1122,0,1122,2,6969599.83813477,10559.9998773336
1364,1982,0,1982,1,6969599.8380127,10559.9998773336
1365,1556,0,1556,4,6969600.70410156,10560.0005334914
1366,670,0,670,4,6969599.83813477,10559.9998773336
1367,971,0,971,4,6969600.70410156,10560.0005334914
1368,2991,0,2991,4,6969599.83813477,10559.9998773336
1369,255,0,255,2,6969599.83813477,10559.9998773336
1370,4079,0,4079,0,6969599.83813477,10559.9998773336
1371,3860,0,3860,5,6969599.8380127,10559.9998773336
1372,2573,0,2573,4,6969599.8380127,10559.9998773336
1373,726,0,726,4,6969599.83813477,10559.9998773336
1374,2226,0,2226,1,6969599.8380127,10559.9998773336
1375,2297,0,2297,2,6969599.83813477,10559.9998773336
1376,3912,0,3912,4,6969599.83813477,10559.9998773336
1377,1906,0,1906,3,6969599.83813477,10559.9998773336
1378,823,0,823,4,6969599.83813477,10559.9998773336
1379,1775,0,1775,4,6969599.83813477,10559.9998773336
1380,1066,0,1066,2,6969599.8380127,10559.9998773336
1381,3727,0,3727,3,6969599.83813477,10559.9998773336
1382,1000,0,1000,1,6969599.8380127,10559.9998773336
1383,3163,0,3163,4,6969599.8380127,10559.9998773336
1384,1793,0,1793,4,6969599.83813477,10559.9998773336
1385,322,0,322,4,6969600.70422363,10560.0005334914
1386,2182,0,2182,2,6969600.70422363,10560.0005335212
1387,551,0,551,4,6969599.83813477,10559.9998773336
1388,1056,0,1056,1,6969599.83813477,10559.9998773336
1389,1147,0,1147,4,6969599.83813477,10559.9998773336
1390,2014,0,2014,4,6969599.8380127,10559.9998773336
1391,778,0,778,4,6969599.8380127,10559.9998773336
1392,1291,0,1291,4,6969599.83813477,10559.9998773336
1393,1375,0,1375,5,6969599.83813477,10559.9998773336
1394,3320,0,3320,5,6969599.83813477,10559.9998773336
1395,606,0,606,3,6969599.8380127,10559.9998773336
1396,2741,0,2741,3,6969599.83813477,10559.9998773336
1397,671,0,671,4,6969599.83813477,10559.9998773336
1398,1558,0,1558,3,6969600.70422363,10560.0005334914
1399,432,0,432,3,6969599.83813477,10559.9998773336
1400,2694,0,2694,2,6969599.83813477,10559.9998773336
1401,1188,0,1188,4,6969599.8380127,10559.9998773336
1402,1423,0,1423,5,6969599.83813477,10559.9998773336
1403,1716,0,1716,4,6969599.83813477,10559.9998773336
1404,259,0,259,3,6969600.7043457,10560.0005335212
1405,2003,0,2003,2,6969599.8380127,10559.9998773336
